,config_file,weighting_scheme,alpha,fine_tune_epoch,reconstruct_loss,reconstruction_layer,weight_scale,use_down_scale,use_upscale,multi_profile,multi_profile_aggr_scheme,scale_guide_loss,user_profile_embeddings_files,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
4,mean-0.4-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-256.yaml,mean,0.4,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,256,0.02442,0.04772,19,0.01102,0.02235,19,"('mean', 0.4, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
7,mean-0.3-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-256.yaml,mean,0.3,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,256,0.0243,0.04772,19,0.0109,0.02277,19,"('mean', 0.3, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
12,mean-0.8-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-1.yaml,mean,0.8,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,1,0.02426,0.04742,19,0.01037,0.02134,19,"('mean', 0.8, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
1,mean-0.2-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-256.yaml,mean,0.2,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,256,0.02418,0.04906,18,0.01115,0.02294,18,"('mean', 0.2, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
3,mean-0.4-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-1.yaml,mean,0.4,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,1,0.02396,0.04742,18,0.01091,0.02277,18,"('mean', 0.4, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
20,mean-0.7-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-42.yaml,mean,0.7,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,42,0.02361,0.04534,19,0.01127,0.02324,19,"('mean', 0.7, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
10,mean-0.6-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-256.yaml,mean,0.6,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,256,0.02355,0.04623,20,0.01027,0.02122,20,"('mean', 0.6, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
5,mean-0.4-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-42.yaml,mean,0.4,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,42,0.02354,0.04638,19,0.01127,0.02324,19,"('mean', 0.4, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
6,mean-0.3-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-1.yaml,mean,0.3,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,1,0.02342,0.04579,19,0.01133,0.02348,19,"('mean', 0.3, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
0,mean-0.2-12-MSE--1-0.1-True-False-False-mean-True-gemma_short_large_umap_single-1.yaml,mean,0.2,12,MSE,4,0.1,True,False,False,mean,True,gemma_short_large_umap_single,1,0.02337,0.04742,17,0.01079,0.02223,17,"('mean', 0.2, 12, 'MSE', 4, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')","[1, 256, 42]"
