,config_file,weighting_scheme,alpha,fine_tune_epoch,reconstruct_loss,reconstruction_layer,weight_scale,use_down_scale,use_upscale,multi_profile,multi_profile_aggr_scheme,scale_guide_loss,user_profile_embeddings_files,seed,val_NDCG@10,val_Recall@10,val_epoch,test_NDCG@10,test_Recall@10,test_epoch,params,all_seeds
663,mean-0.8-6-RMSE-1-0.1-False-True-False-mean-False-gemma_short_large_umap_single-42.yaml,mean,0.8,6,RMSE,1,0.1,False,True,False,mean,False,gemma_short_large_umap_single,42,0.09987,0.18422,14,0.06111,0.11661,14,"('mean', 0.8, 6, 'RMSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",[42]
837,exponential-0.8-8-MSE-2-0.1-False-True-False-mean-True-gemma_long_large_umap_single-42.yaml,exponential,0.8,8,MSE,2,0.1,False,True,False,mean,True,gemma_long_large_umap_single,42,0.09898,0.18188,14,0.06083,0.11617,14,"('exponential', 0.8, 8, 'MSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_long_large_umap_single')",[42]
779,exponential-0.65-8-RMSE-2-0.1-False-True-False-mean-True-gemma_short_large_umap_single-42.yaml,exponential,0.65,8,RMSE,2,0.1,False,True,False,mean,True,gemma_short_large_umap_single,42,0.09998,0.18356,14,0.06072,0.11579,14,"('exponential', 0.65, 8, 'RMSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",[42]
649,mean-0.8-6-MSE-2-0.1-False-True-False-mean-True-gemma_long_large_umap_single-42.yaml,mean,0.8,6,MSE,2,0.1,False,True,False,mean,True,gemma_long_large_umap_single,42,0.09983,0.18389,14,0.06072,0.11615,14,"('mean', 0.8, 6, 'MSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_long_large_umap_single')",[42]
467,exponential-0.5-8-RMSE-2-0.1-True-False-False-mean-True-gemma_short_large_umap_single-42.yaml,exponential,0.5,8,RMSE,2,0.1,True,False,False,mean,True,gemma_short_large_umap_single,42,0.09985,0.18454,14,0.06072,0.11703,14,"('exponential', 0.5, 8, 'RMSE', 2, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",[42]
131,mean-0.65-6-MSE-2-0.1-False-True-False-mean-True-gemma_short_large_umap_single-42.yaml,mean,0.65,6,MSE,2,0.1,False,True,False,mean,True,gemma_short_large_umap_single,42,0.09947,0.18313,14,0.06066,0.11519,14,"('mean', 0.65, 6, 'MSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",[42]
777,exponential-0.65-8-RMSE-2-0.1-False-True-False-mean-True-gemma_long_large_umap_single-42.yaml,exponential,0.65,8,RMSE,2,0.1,False,True,False,mean,True,gemma_long_large_umap_single,42,0.09906,0.18269,14,0.06063,0.11571,14,"('exponential', 0.65, 8, 'RMSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_long_large_umap_single')",[42]
1263,mean-0.65-8-RMSE-2-0.1-True-False-False-mean-True-gemma_short_large_umap_single-42.yaml,mean,0.65,8,RMSE,2,0.1,True,False,False,mean,True,gemma_short_large_umap_single,42,0.10061,0.18525,14,0.06063,0.11684,14,"('mean', 0.65, 8, 'RMSE', 2, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",[42]
465,exponential-0.5-8-RMSE-2-0.1-True-False-False-mean-True-gemma_long_large_umap_single-42.yaml,exponential,0.5,8,RMSE,2,0.1,True,False,False,mean,True,gemma_long_large_umap_single,42,0.09901,0.18291,14,0.06059,0.11638,14,"('exponential', 0.5, 8, 'RMSE', 2, 0.1, 'True', 'False', 'False', 'mean', 'True', 'gemma_long_large_umap_single')",[42]
1399,exponential-0.65-6-RMSE-1-0.1-False-True-False-mean-True-gemma_short_large_umap_single-42.yaml,exponential,0.65,6,RMSE,1,0.1,False,True,False,mean,True,gemma_short_large_umap_single,42,0.09912,0.18302,14,0.06054,0.11642,14,"('exponential', 0.65, 6, 'RMSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",[42]
945,mean-0.5-6-MSE-1-0.1-False-True-False-mean-False-gemma_long_large_umap_single-42.yaml,mean,0.5,6,MSE,1,0.1,False,True,False,mean,False,gemma_long_large_umap_single,42,0.09914,0.18345,14,0.06053,0.11579,14,"('mean', 0.5, 6, 'MSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_long_large_umap_single')",[42]
125,mean-0.65-6-MSE-2-0.1-False-True-False-mean-False-gemma_long_large_umap_single-42.yaml,mean,0.65,6,MSE,2,0.1,False,True,False,mean,False,gemma_long_large_umap_single,42,0.10017,0.18373,14,0.06051,0.11562,14,"('mean', 0.65, 6, 'MSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_long_large_umap_single')",[42]
929,mean-0.5-4-RMSE-2-0.1-False-True-False-mean-False-gemma_long_large_umap_single-42.yaml,mean,0.5,4,RMSE,2,0.1,False,True,False,mean,False,gemma_long_large_umap_single,42,0.09956,0.18248,8,0.06045,0.11598,8,"('mean', 0.5, 4, 'RMSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_long_large_umap_single')",[42]
851,exponential-0.8-8-RMSE-1-0.1-False-True-False-mean-False-gemma_short_large_umap_single-42.yaml,exponential,0.8,8,RMSE,1,0.1,False,True,False,mean,False,gemma_short_large_umap_single,42,0.09951,0.18297,14,0.06045,0.11493,14,"('exponential', 0.8, 8, 'RMSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",[42]
1043,mean-0.5-8-RMSE-1-0.1-False-True-False-mean-False-gemma_short_large_umap_single-42.yaml,mean,0.5,8,RMSE,1,0.1,False,True,False,mean,False,gemma_short_large_umap_single,42,0.09929,0.18351,14,0.06041,0.11504,14,"('mean', 0.5, 8, 'RMSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",[42]
763,exponential-0.65-8-RMSE-1-0.1-False-True-False-mean-True-gemma_short_large_umap_single-42.yaml,exponential,0.65,8,RMSE,1,0.1,False,True,False,mean,True,gemma_short_large_umap_single,42,0.0993,0.18324,14,0.0604,0.11558,14,"('exponential', 0.65, 8, 'RMSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",[42]
631,mean-0.8-6-MSE-1-0.1-False-True-False-mean-False-gemma_short_large_umap_single-42.yaml,mean,0.8,6,MSE,1,0.1,False,True,False,mean,False,gemma_short_large_umap_single,42,0.09969,0.18351,14,0.06038,0.11531,14,"('mean', 0.8, 6, 'MSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",[42]
455,exponential-0.5-8-RMSE-2-0.1-False-True-False-mean-False-gemma_short_large_umap_single-42.yaml,exponential,0.5,8,RMSE,2,0.1,False,True,False,mean,False,gemma_short_large_umap_single,42,0.09997,0.184,14,0.06037,0.11606,14,"('exponential', 0.5, 8, 'RMSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",[42]
1427,exponential-0.65-8-MSE-1-0.1-False-True-False-mean-False-gemma_short_large_umap_single-42.yaml,exponential,0.65,8,MSE,1,0.1,False,True,False,mean,False,gemma_short_large_umap_single,42,0.09885,0.18204,14,0.06035,0.11516,14,"('exponential', 0.65, 8, 'MSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",[42]
695,mean-0.8-8-MSE-1-0.1-False-True-False-mean-False-gemma_short_large_umap_single-42.yaml,mean,0.8,8,MSE,1,0.1,False,True,False,mean,False,gemma_short_large_umap_single,42,0.09881,0.18161,14,0.06034,0.1146,14,"('mean', 0.8, 8, 'MSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'False', 'gemma_short_large_umap_single')",[42]
997,mean-0.5-6-RMSE-2-0.1-False-True-False-mean-True-gemma_long_large_umap_single-42.yaml,mean,0.5,6,RMSE,2,0.1,False,True,False,mean,True,gemma_long_large_umap_single,42,0.10003,0.18476,14,0.06033,0.1146,14,"('mean', 0.5, 6, 'RMSE', 2, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_long_large_umap_single')",[42]
1015,mean-0.5-8-MSE-1-0.1-False-True-False-mean-True-gemma_short_large_umap_single-42.yaml,mean,0.5,8,MSE,1,0.1,False,True,False,mean,True,gemma_short_large_umap_single,42,0.09873,0.18307,14,0.06032,0.11412,14,"('mean', 0.5, 8, 'MSE', 1, 0.1, 'False', 'True', 'False', 'mean', 'True', 'gemma_short_large_umap_single')",[42]
